#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12524 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:14.93 aq:13.40 tex:6846355 mv:352417 misc:428 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:16.38 aq:14.63 tex:6054411 mv:50004 misc:593 imb:6268 pmb:1892 smb:0 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:16.38 aq:14.53 tex:4705206 mv:86201 misc:665 imb:5650 pmb:2506 smb:4 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:16.38 aq:15.08 tex:4430501 mv:92106 misc:729 imb:4529 pmb:3614 smb:17 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:16.38 aq:15.26 tex:4729936 mv:98395 misc:661 imb:4024 pmb:4120 smb:16 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:17.12 aq:15.14 tex:5566511 mv:51013 misc:596 imb:6173 pmb:1987 smb:0 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:16.75 aq:15.12 tex:4877960 mv:94075 misc:677 imb:4593 pmb:3561 smb:6 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:16.56 aq:15.64 tex:4852182 mv:99228 misc:678 imb:4002 pmb:4142 smb:16 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:16.93 aq:16.05 tex:4615949 mv:101974 misc:629 imb:3527 pmb:4618 smb:15 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:17.85 aq:15.88 tex:5390475 mv:55845 misc:608 imb:5461 pmb:2699 smb:0 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:17.48 aq:16.04 tex:4586862 mv:100059 misc:639 imb:4377 pmb:3773 smb:10 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:17.30 aq:16.61 tex:4764464 mv:106469 misc:675 imb:3298 pmb:4848 smb:14 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:17.67 aq:16.72 tex:4316448 mv:99829 misc:691 imb:4122 pmb:4010 smb:28 d:- ref:0 ;
